Campaign,Date,City/Location,Latitude,Longitude,Channel,Device,Ad,Impressions,"CTR, %",Clicks,Daily Average CPC,"Spend, GBP",Conversions,"Total conversion value, GBP",Likes (Reactions),Shares,Comments,Revenue,Profit,ROI_%,High_ROI
Spring ,2023-03-01,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1110.8,0.018500000000000003,20.5498,1.3915,28.5950467,1,51.84,45.0,4.0,3.0,51.84,23.244953300000002,81.29013931633132,0
Spring ,2023-03-02,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1296.6000000000001,0.011000000000000003,14.262600000000004,0.7245,10.333253700000004,2,40.32,14.0,17.0,10.5,40.32,29.986746299999997,290.1965554179705,0
Spring ,2023-03-03,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1264.4,0.013200000000000002,16.690080000000002,0.37949999999999995,6.33388536,4,53.760000000000005,24.0,1.0,7.5,53.760000000000005,47.42611464000001,748.7681248465161,0
Spring ,2023-03-04,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,837.8000000000001,0.015899999999999997,13.321019999999999,0.575,7.659586499999999,3,25.92,59.0,10.0,6.0,25.92,18.260413500000002,238.39946843083507,0
Spring ,2023-03-05,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1599.0,0.014400000000000001,23.0256,0.828,19.0651968,2,108.192,44.0,17.0,1.5,108.192,89.1268032,467.4843073217057,0
Spring ,2023-03-06,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,893.6,0.019200000000000002,17.157120000000003,0.3105,5.3272857600000005,4,20.16,57.0,3.0,3.0,20.16,14.83271424,278.42910833452265,0
Spring ,2023-03-07,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1540.8000000000002,0.0147,22.64976,1.5294999999999996,34.642807919999996,0,14.399999999999999,44.0,0.0,3.0,14.399999999999999,-20.242807919999997,-58.43293062948691,0
Spring ,2023-03-08,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,994.8000000000002,0.0144,14.325120000000002,0.299,4.28321088,0,23.040000000000003,9.0,9.0,6.0,23.040000000000003,18.75678912,437.91421075209814,0
Spring ,2023-03-09,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1336.6000000000001,0.012200000000000003,16.306520000000006,0.1725,2.812874700000001,2,13.440000000000001,33.0,12.0,0.0,13.440000000000001,10.6271253,377.80301056424577,0
Spring ,2023-03-10,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1001.8,0.0135,13.524299999999998,0.529,7.1543547,4,0.0,9.0,17.0,0.0,0.0,-7.1543547,-100.0,0
Spring ,2023-03-11,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1141.2,0.011600000000000003,13.237920000000004,0.8854999999999998,11.722178160000002,4,58.464000000000006,37.0,4.0,9.0,58.464000000000006,46.74182184,398.7468984177254,0
Spring ,2023-03-12,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1304.2,0.0149,19.43258,1.1615,22.57094167,4,21.12,29.0,6.0,10.5,21.12,-1.4509416699999989,-6.428361258531394,0
Spring ,2023-03-13,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,878.4000000000001,0.0104,9.13536,0.2875,2.626416,5,162.624,20.0,2.0,9.0,162.624,159.997584,6091.8599338414015,1
